id,nombre,longitud,dicc_habitat_id
8,Campos de Otero,2264.3894,3
36,Las Sabinas,361.1330,
37,Cauchiles,308.1092,
50,BMS_Hervidero,3352.2792,
38,Carihuela,356.8006,
39,Hoya Mora Fen-Marip,314.7972,
46,BMS_Laguna,535.5919,
15,Aguas Verdes,2431.8785,2
12,Dehesa del Camarate,2805.2497,5
2,Robledal de Cáñar,2556.5298,5
11,Dehesa de las Hoyas,2436.9556,3
14,Laguna Seca,2530.9713,2
32,La Fabriquilla,357.8190,
33,Barranco de San Juan,369.3073,
4,Robledal de Dílar,2553.5233,5
40,Hervidero,3353.2288,
18,Loma papeles bajo,,6
19,Campo otero,,6
20,Purche,,6
21,Matas verdes,,6
22,Robledal caÃ±ar,,6
23,Robledal dilar,,6
24,Campo Otero,,6
25,Robledal cañar,,6
3,Dehesa del Río Dúrcal,3292.0968,4
9,Cortijo del Hornillo,3044.1891,5
34,Las Catifas,406.8770,
16,Hoya Mora,2046.6233,2
13,Lanteira,2515.5455,4
5,Collado de Matas Verdes,2237.8476,4
17,Papeles alto,2309.5885,2
10,Loma Papeles,2539.1295,3
35,Los Praillos,332.9730,
6,El Purche,1944.6154,4
7,Collado del Sabinar,2745.7166,3
45,BMS_ DurcaL,3276.3258,
47,BMS_Laujar,1339.4495,
48,BMS_Pitres,2188.4490,
49,BMS_Turbera,2808.8565,
