Ord,PK_VISITAS,FECHA,year,loc,specie,n,dis,desp
26,1721,01/09/2020,2020,DIL,Garrulus glandarius,2,0,.
52,1695,12/28/2019,2019,GEN,Garrulus glandarius,1,0,.
119,1754,11/29/2019,2019,CAM,Garrulus glandarius,2,0,.
191,1764,10/25/2019,2019,DIL,Garrulus glandarius,3,0,.
320,1759,09/27/2019,2019,CAN,Garrulus glandarius,3,0,.
328,1729,09/26/2019,2019,DIL,Garrulus glandarius,2,0,.
378,1662,09/12/2019,2019,GEN,Garrulus glandarius,3,0,.
411,1762,08/30/2019,2019,CAN,Garrulus glandarius,3,0,.
417,1749,08/30/2019,2019,GEN,Garrulus glandarius,1,0,.
522,1732,08/13/2019,2019,DIL,Garrulus glandarius,1,0,.
580,1758,07/21/2019,2019,CAN,Garrulus glandarius,1,0,.
602,1736,07/17/2019,2019,DIL,Garrulus glandarius,4,0,.
621,1702,07/11/2019,2019,GEN,Garrulus glandarius,3,0,.
658,1740,07/04/2019,2019,CAM,Garrulus glandarius,10,0,.
736,1697,06/28/2019,2019,GEN,Garrulus glandarius,1,0,.
788,1756,06/11/2019,2019,CAN,Garrulus glandarius,1,0,.
928,1720,04/30/2019,2019,GEN,Garrulus glandarius,1,0,.
945,1760,04/30/2019,2019,CAN,Garrulus glandarius,3,0,.
1045,1741,04/02/2019,2019,DIL,Garrulus glandarius,3,0,.
1094,1726,03/19/2019,2019,CAM,Garrulus glandarius,3,0,.
1139,1757,03/13/2019,2019,CAN,Garrulus glandarius,2,0,.
1165,1727,03/12/2019,2019,DIL,Garrulus glandarius,2,0,.
1257,1742,02/14/2019,2019,CAM,Garrulus glandarius,2,0,.
1267,1744,02/07/2019,2019,DIL,Garrulus glandarius,1,0,.
1319,1745,01/18/2019,2019,DIL,Garrulus glandarius,3,0,.
1448,1537,12/18/2018,2018,DIL,Garrulus glandarius,3,1977,10
1615,1536,11/16/2018,2018,DIL,Garrulus glandarius,1,1699,0
1617,1536,11/16/2018,2018,DIL,Garrulus glandarius,1,723,0
1618,1536,11/16/2018,2018,DIL,Garrulus glandarius,2,2427,10
1629,1571,11/15/2018,2018,CAM,Garrulus glandarius,2,2793,10
1771,1584,10/25/2018,2018,GEN,Garrulus glandarius,1,174,0
1797,1569,10/23/2018,2018,CAM,Garrulus glandarius,2,333,0
1806,1569,10/23/2018,2018,CAM,Garrulus glandarius,3,1376,10
1893,1535,10/15/2018,2018,DIL,Garrulus glandarius,1,120,0
2022,1594,09/25/2018,2018,GEN,Garrulus glandarius,1,1317,0
2042,1594,09/25/2018,2018,GEN,Garrulus glandarius,1,171,10
2052,1594,09/25/2018,2018,GEN,Garrulus glandarius,1,2210,10
2061,1594,09/25/2018,2018,GEN,Garrulus glandarius,1,2409,30
2124,1565,09/15/2018,2018,CAM,Garrulus glandarius,3,2307,10
2127,1565,09/15/2018,2018,CAM,Garrulus glandarius,3,2951,10
2131,1565,09/15/2018,2018,CAM,Garrulus glandarius,1,497,0
2137,1565,09/15/2018,2018,CAM,Garrulus glandarius,2,2521,10
2150,1565,09/15/2018,2018,CAM,Garrulus glandarius,2,420,10
2158,1565,09/15/2018,2018,CAM,Garrulus glandarius,1,2977,10
2185,1534,09/12/2018,2018,DIL,Garrulus glandarius,1,2712,0
2188,1534,09/12/2018,2018,DIL,Garrulus glandarius,3,247,0
2195,1534,09/12/2018,2018,DIL,Garrulus glandarius,2,391,10
2262,1585,08/30/2018,2018,GEN,Garrulus glandarius,1,1457,30
2307,1532,08/14/2018,2018,DIL,Garrulus glandarius,1,725,10
2315,1532,08/14/2018,2018,DIL,Garrulus glandarius,1,2236,10
2397,1562,08/09/2018,2018,CAM,Garrulus glandarius,1,2835,0
2405,1562,08/09/2018,2018,CAM,Garrulus glandarius,1,2911,0
2409,1562,08/09/2018,2018,CAM,Garrulus glandarius,1,2575,10
2414,1562,08/09/2018,2018,CAM,Garrulus glandarius,1,2987,0
2519,1533,07/31/2018,2018,DIL,Garrulus glandarius,2,2914,0
2521,1533,07/31/2018,2018,DIL,Garrulus glandarius,2,763,10
2588,1570,07/30/2018,2018,GEN,Garrulus glandarius,1,185,10
2595,1570,07/30/2018,2018,GEN,Garrulus glandarius,1,811,10
2608,1570,07/30/2018,2018,GEN,Garrulus glandarius,1,1538,10
2667,1564,07/24/2018,2018,CAM,Garrulus glandarius,3,2220,10
2673,1564,07/24/2018,2018,CAM,Garrulus glandarius,3,1810,10
2676,1564,07/24/2018,2018,CAM,Garrulus glandarius,3,2100,10
2688,1564,07/24/2018,2018,CAM,Garrulus glandarius,1,500,10
2845,1578,06/26/2018,2018,GEN,Garrulus glandarius,1,2487,0
3176,1572,04/26/2018,2018,GEN,Garrulus glandarius,3,2475,10
3212,1568,04/21/2018,2018,CAN,Garrulus glandarius,1,1520,30
3254,1531,04/20/2018,2018,DIL,Garrulus glandarius,1,1997,0
3260,1531,04/20/2018,2018,DIL,Garrulus glandarius,1,25,10
3282,1531,04/20/2018,2018,DIL,Garrulus glandarius,1,2017,10
3508,1453,02/16/2018,2018,CAM,Garrulus glandarius,2,10,.
